000Zo,4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35,e8e1 g1f2 e1f1,https://lichess.org/n8Ff742v#69,
000hf,r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w - - 0 20,e2e6 f7f8 e6f7,https://lichess.org/71ygsFeE/black#38,Horwitz_Defense Horwitz_Defense_Other_variations
001Wz,6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22,d1d8 e5e8 d8e8,https://lichess.org/84RH3LaP/black#42,
001om,5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26,c5f2 g2g3 f2g3,https://lichess.org/VWOIWtIh#51,
001w5,1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30,c2h7 g8h7 g7g8q,https://lichess.org/0e1vxAEn/black#58,
002Mm,rn1qrk2/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 w Q - 3 17,h7h8 f8e7 h8g7,https://lichess.org/wAkPv4uG/black#32,Three_Knights_Opening Three_Knights_Opening_Other_variations
002p5,r1bqr1k1/pp1nbpp1/2p5/3n2P1/2BP4/P7/1PQNNPP1/R3K2R w KQ - 1 14,c2h7 g8f8 h7h8,https://lichess.org/meSoQkhU/black#26,French_Defense French_Defense_Exchange_Variation
0030b,6k1/5ppp/5n2/pp6/4b1rP/5N1Q/Pq2r1P1/3R2RK w - - 5 33,d1d8 f6e8 d8e8,https://lichess.org/mhIZR6Mc/black#64,
003Tx,2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27,f3d2 b1a1 c8c1,https://lichess.org/A7j9VEC0#53,
0042j,3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 25,d2d8 b6d8 d1d8,https://lichess.org/DuM2FZjg/black#48,
